"Time","Average Compilation Time"
2024-08-08 18:09:00,NaN
2024-08-08 18:09:15,NaN
2024-08-08 18:09:30,NaN
2024-08-08 18:09:45,NaN
2024-08-08 18:10:00,37.3 ms
2024-08-08 18:10:15,37.5 ms
2024-08-08 18:10:30,38.0 ms
2024-08-08 18:10:45,38.1 ms
2024-08-08 18:11:00,38.4 ms
2024-08-08 18:11:15,38.4 ms
2024-08-08 18:11:30,38.7 ms
2024-08-08 18:11:45,38.6 ms
2024-08-08 18:12:00,38.4 ms
2024-08-08 18:12:15,38.1 ms
2024-08-08 18:12:30,38.2 ms
2024-08-08 18:12:45,38.0 ms
2024-08-08 18:13:00,37.9 ms
2024-08-08 18:13:15,37.7 ms
2024-08-08 18:13:30,37.9 ms
2024-08-08 18:13:45,37.9 ms
2024-08-08 18:14:00,38.2 ms
2024-08-08 18:14:15,38.3 ms
2024-08-08 18:14:30,38.8 ms
2024-08-08 18:14:45,38.8 ms
2024-08-08 18:15:00,38.6 ms
2024-08-08 18:15:15,38.1 ms
2024-08-08 18:15:30,38.2 ms
2024-08-08 18:15:45,38.6 ms
2024-08-08 18:16:00,38.7 ms
2024-08-08 18:16:15,39.4 ms
2024-08-08 18:16:30,39.4 ms
2024-08-08 18:16:45,39.3 ms
2024-08-08 18:17:00,38.4 ms
2024-08-08 18:17:15,38.0 ms
2024-08-08 18:17:30,37.9 ms
2024-08-08 18:17:45,40.0 ms
2024-08-08 18:18:00,40.1 ms
2024-08-08 18:18:15,40.3 ms
2024-08-08 18:18:30,38.5 ms
2024-08-08 18:18:45,38.3 ms
2024-08-08 18:19:00,38.8 ms
2024-08-08 18:19:15,38.4 ms
2024-08-08 18:19:30,38.5 ms
2024-08-08 18:19:45,38.0 ms
2024-08-08 18:20:00,38.7 ms
2024-08-08 18:20:15,38.9 ms
2024-08-08 18:20:30,38.6 ms
2024-08-08 18:20:45,38.6 ms
2024-08-08 18:21:00,38.5 ms
2024-08-08 18:21:15,38.5 ms
2024-08-08 18:21:30,37.7 ms
2024-08-08 18:21:45,37.6 ms
2024-08-08 18:22:00,39.0 ms
2024-08-08 18:22:15,40.2 ms
2024-08-08 18:22:30,40.1 ms
2024-08-08 18:22:45,39.2 ms
2024-08-08 18:23:00,37.5 ms
2024-08-08 18:23:15,NaN
2024-08-08 18:23:30,NaN
2024-08-08 18:23:45,NaN
2024-08-08 18:24:00,NaN
