"Time","Average Compilation Time"
2024-08-08 18:09:00,NaN
2024-08-08 18:09:15,NaN
2024-08-08 18:09:30,NaN
2024-08-08 18:09:45,NaN
2024-08-08 18:10:00,53.0 ms
2024-08-08 18:10:15,52.9 ms
2024-08-08 18:10:30,54.0 ms
2024-08-08 18:10:45,53.3 ms
2024-08-08 18:11:00,53.4 ms
2024-08-08 18:11:15,52.5 ms
2024-08-08 18:11:30,53.2 ms
2024-08-08 18:11:45,53.5 ms
2024-08-08 18:12:00,53.5 ms
2024-08-08 18:12:15,53.3 ms
2024-08-08 18:12:30,53.7 ms
2024-08-08 18:12:45,53.4 ms
2024-08-08 18:13:00,53.7 ms
2024-08-08 18:13:15,53.5 ms
2024-08-08 18:13:30,53.5 ms
2024-08-08 18:13:45,53.3 ms
2024-08-08 18:14:00,53.1 ms
2024-08-08 18:14:15,54.5 ms
2024-08-08 18:14:30,56.0 ms
2024-08-08 18:14:45,55.4 ms
2024-08-08 18:15:00,54.2 ms
2024-08-08 18:15:15,53.0 ms
2024-08-08 18:15:30,53.4 ms
2024-08-08 18:15:45,53.7 ms
2024-08-08 18:16:00,54.2 ms
2024-08-08 18:16:15,54.1 ms
2024-08-08 18:16:30,53.8 ms
2024-08-08 18:16:45,53.6 ms
2024-08-08 18:17:00,53.5 ms
2024-08-08 18:17:15,53.5 ms
2024-08-08 18:17:30,53.4 ms
2024-08-08 18:17:45,53.6 ms
2024-08-08 18:18:00,53.5 ms
2024-08-08 18:18:15,53.6 ms
2024-08-08 18:18:30,52.8 ms
2024-08-08 18:18:45,52.7 ms
2024-08-08 18:19:00,52.4 ms
2024-08-08 18:19:15,53.3 ms
2024-08-08 18:19:30,53.3 ms
2024-08-08 18:19:45,53.5 ms
2024-08-08 18:20:00,52.9 ms
2024-08-08 18:20:15,52.4 ms
2024-08-08 18:20:30,52.4 ms
2024-08-08 18:20:45,53.1 ms
2024-08-08 18:21:00,54.0 ms
2024-08-08 18:21:15,54.4 ms
2024-08-08 18:21:30,53.5 ms
2024-08-08 18:21:45,53.5 ms
2024-08-08 18:22:00,53.7 ms
2024-08-08 18:22:15,54.3 ms
2024-08-08 18:22:30,54.1 ms
2024-08-08 18:22:45,53.5 ms
2024-08-08 18:23:00,53.6 ms
2024-08-08 18:23:15,NaN
2024-08-08 18:23:30,NaN
2024-08-08 18:23:45,NaN
2024-08-08 18:24:00,NaN
