"Time","Number of processed executions p/ minute"
2024-08-08 18:39:00,0
2024-08-08 18:39:15,0
2024-08-08 18:39:30,-50.7
2024-08-08 18:39:45,-98.6
2024-08-08 18:40:00,-145
2024-08-08 18:40:15,-140
2024-08-08 18:40:30,-132
2024-08-08 18:40:45,-125
2024-08-08 18:41:00,-65.3
2024-08-08 18:41:15,-2.67
2024-08-08 18:41:30,50.7
2024-08-08 18:41:45,52.0
2024-08-08 18:42:00,53.3
2024-08-08 18:42:15,57.3
2024-08-08 18:42:30,58.7
2024-08-08 18:42:45,50.7
2024-08-08 18:43:00,49.3
2024-08-08 18:43:15,52.0
2024-08-08 18:43:30,54.7
2024-08-08 18:43:45,62.7
2024-08-08 18:44:00,60
2024-08-08 18:44:15,54.7
2024-08-08 18:44:30,50.7
2024-08-08 18:44:45,33.3
2024-08-08 18:45:00,20.0
2024-08-08 18:45:15,0
2024-08-08 18:45:30,0
2024-08-08 18:45:45,0
2024-08-08 18:46:00,0
