"Time","Waiting for Executor"
2024-08-08 17:38:00,0
2024-08-08 17:38:15,0
2024-08-08 17:38:30,0
2024-08-08 17:38:45,4
2024-08-08 17:39:00,36
2024-08-08 17:39:15,68
2024-08-08 17:39:30,100
2024-08-08 17:39:45,133
2024-08-08 17:40:00,170
2024-08-08 17:40:15,197
2024-08-08 17:40:30,187
2024-08-08 17:40:45,170
2024-08-08 17:41:00,159
2024-08-08 17:41:15,140
2024-08-08 17:41:30,127
2024-08-08 17:41:45,111
2024-08-08 17:42:00,92
2024-08-08 17:42:15,82
2024-08-08 17:42:30,62
2024-08-08 17:42:45,50
2024-08-08 17:43:00,32
2024-08-08 17:43:15,19
2024-08-08 17:43:30,8
2024-08-08 17:43:45,0
2024-08-08 17:44:00,0
2024-08-08 17:44:15,0
2024-08-08 17:44:30,0
2024-08-08 17:44:45,0
2024-08-08 17:45:00,0
2024-08-08 17:45:15,0
2024-08-08 17:45:30,0
2024-08-08 17:45:45,0
2024-08-08 17:46:00,0
2024-08-08 17:46:15,0
2024-08-08 17:46:30,0
2024-08-08 17:46:45,0
2024-08-08 17:47:00,0
2024-08-08 17:47:15,0
2024-08-08 17:47:30,0
2024-08-08 17:47:45,0
2024-08-08 17:48:00,0
2024-08-08 17:48:15,0
2024-08-08 17:48:30,0
2024-08-08 17:48:45,0
2024-08-08 17:49:00,0
2024-08-08 17:49:15,0
2024-08-08 17:49:30,0
2024-08-08 17:49:45,0
2024-08-08 17:50:00,0
