Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,5167,4185,149,29259,"3733.97","2.439%","131.33213","251.44","204.46","1960.5"
Social-Service,4326,160,60,17519,"710.36","0.023%","111.06547","80.21","177.73","739.5"
Submission-Service,4294,84,64,1694,"55.69","0.000%","143.73222","1078.82","229.49","7685.9"
Assessment-Service,4289,77,61,1097,"37.46","0.000%","143.84412","73.59","231.08","523.9"
Users-Service,4280,78,62,1120,"34.26","0.000%","143.96717","133.41","229.73","948.9"
Competitive-Service,4278,76,62,214,"14.68","0.000%","144.23466","87.31","231.85","619.9"
TOTAL,26634,889,60,29259,"2324.60","0.477%","676.96922","1372.45","1078.18","2076.0"
