Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,5315,4555,150,23129,"3544.91","1.355%","139.58191","265.46","219.71","1947.4"
Social-Service,4364,107,61,14022,"439.35","0.023%","128.10051","92.52","204.99","739.6"
Submission-Service,4354,81,63,3134,"48.29","0.000%","135.50355","1017.07","216.36","7686.0"
Assessment-Service,4347,75,61,240,"13.35","0.000%","145.95575","74.68","234.47","523.9"
Users-Service,4334,76,62,158,"11.57","0.000%","145.80320","135.13","232.66","949.0"
Competitive-Service,4329,75,61,153,"11.24","0.000%","146.01815","88.41","234.71","620.0"
TOTAL,27043,962,61,23129,"2379.19","0.270%","710.20012","1439.22","1133.44","2075.1"
