Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,3247,5446,171,24358,"4361.37","0.000%","79.45092","1470.10","125.15","18947.4"
Social-Service,2586,70,61,321,"8.89","0.000%","86.49119","62.41","138.44","738.9"
Submission-Service,2577,71,62,170,"6.99","0.000%","86.36348","648.24","137.89","7686.1"
Assessment-Service,2570,80,62,252,"17.54","0.000%","86.04239","44.02","138.22","523.9"
Users-Service,2559,74,62,163,"8.95","0.000%","86.16452","79.85","137.49","949.0"
Competitive-Service,2555,73,62,238,"9.57","0.000%","86.18363","52.19","138.53","620.1"
TOTAL,16094,1157,61,24358,"2913.18","0.000%","393.80444","2117.12","628.54","5505.1"
