Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4341,2803,154,22921,"3563.95","0.000%","120.02986","226.35","191.53","1931.1"
Social-Service,3863,73,61,714,"14.14","0.000%","129.11959","93.20","206.67","739.2"
Submission-Service,3860,74,63,175,"9.49","0.000%","129.30024","970.51","206.45","7686.0"
Assessment-Service,3856,73,62,155,"9.05","0.000%","129.47853","66.25","208.00","524.0"
Users-Service,3853,74,62,309,"10.43","0.000%","129.95379","120.41","207.37","948.8"
Competitive-Service,3850,73,61,167,"10.33","0.000%","129.90080","78.64","208.81","619.9"
TOTAL,23623,575,61,22921,"1857.77","0.000%","653.18255","1322.26","1045.30","2072.9"
