Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,2000,190,150,418,"41.76","0.000%","66.09822","124.64","105.47","1930.9"
Social-Service,1982,69,61,168,"8.59","0.000%","66.64649","48.12","106.67","739.3"
Submission-Service,1974,880,62,6461,"1069.06","0.000%","64.51824","484.40","103.01","7688.2"
Assessment-Service,1912,71,62,159,"8.98","0.000%","64.59678","33.05","103.77","523.9"
Users-Service,1911,82,62,258,"22.67","0.000%","64.67881","59.95","103.21","949.1"
Competitive-Service,1903,117,61,2701,"173.93","0.000%","64.62019","39.13","103.87","620.1"
TOTAL,11682,237,61,6461,"533.13","0.000%","377.10633","772.31","603.51","2097.1"
