Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,5192,4531,152,26126,"3749.00","1.772%","133.24437","254.04","208.85","1952.3"
Social-Service,4286,160,61,20355,"1015.79","0.047%","119.06548","86.04","190.49","739.9"
Submission-Service,4246,79,63,7746,"118.05","0.000%","134.77654","1011.62","215.19","7686.0"
Assessment-Service,4217,73,62,152,"9.43","0.000%","141.54807","72.44","227.39","524.1"
Users-Service,4204,74,62,191,"10.60","0.000%","141.42977","131.07","225.68","949.0"
Competitive-Service,4198,74,62,171,"9.76","0.000%","141.61859","85.76","227.64","620.1"
TOTAL,26343,967,61,26126,"2461.38","0.357%","676.05092","1372.03","1078.00","2078.2"
