Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,5001,2292,152,28409,"2560.37","0.060%","144.30818","272.23","230.13","1931.7"
Social-Service,4570,79,62,2043,"34.52","0.000%","144.29604","104.13","230.96","738.9"
Submission-Service,4549,81,63,231,"18.46","0.000%","152.23721","1142.68","243.07","7686.1"
Assessment-Service,4527,77,62,205,"15.63","0.000%","151.84651","77.69","243.93","523.9"
Users-Service,4517,80,61,219,"19.42","0.000%","152.30806","141.13","243.04","948.9"
Competitive-Service,4516,79,61,501,"20.50","0.000%","152.18710","92.15","244.63","620.0"
TOTAL,27680,479,61,28409,"1381.90","0.011%","798.73034","1619.18","1278.10","2075.8"
