Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,3700,365,151,3367,"190.37","0.000%","122.16059","230.35","194.93","1930.9"
Social-Service,3647,75,62,240,"14.49","0.000%","122.15300","88.11","195.52","738.6"
Submission-Service,3624,76,63,290,"14.52","0.000%","121.69650","913.44","194.31","7686.1"
Assessment-Service,3620,75,62,223,"13.23","0.000%","121.99643","62.39","195.98","523.6"
Users-Service,3619,78,62,218,"16.09","0.000%","122.22635","113.28","195.04","949.0"
Competitive-Service,3610,75,62,235,"14.47","0.000%","122.26926","74.04","196.54","620.1"
TOTAL,21820,125,62,3367,"134.53","0.000%","720.41733","1459.33","1152.96","2074.3"
