Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4010,3760,154,24871,"4110.27","0.299%","107.78121","203.64","171.47","1934.7"
Social-Service,3323,366,62,5440,"711.50","0.000%","96.86070","69.90","155.03","739.0"
Submission-Service,3317,83,62,160,"17.24","0.000%","111.02186","833.33","177.27","7686.1"
Assessment-Service,3311,78,61,202,"15.79","0.000%","111.54909","57.10","179.20","524.2"
Users-Service,3311,78,62,503,"15.71","0.000%","111.53781","103.37","177.98","949.0"
Competitive-Service,3310,77,62,174,"13.39","0.000%","112.48173","68.09","180.81","619.9"
TOTAL,20582,842,61,24871,"2333.16","0.058%","553.20521","1119.17","884.76","2071.6"
