Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4602,1461,154,7412,"1055.50","0.000%","144.15938","271.81","230.04","1930.7"
Social-Service,4424,75,62,224,"11.29","0.000%","147.62906","106.53","236.29","738.9"
Submission-Service,4398,77,63,188,"10.11","0.000%","147.09522","1104.08","234.86","7686.0"
Assessment-Service,4375,74,62,208,"9.64","0.000%","146.78745","75.12","235.81","524.0"
Users-Service,4343,76,62,187,"11.37","0.000%","145.97829","135.26","232.94","948.8"
Competitive-Service,4330,75,62,173,"11.24","0.000%","145.88949","88.33","234.51","620.0"
TOTAL,26472,316,62,7412,"685.28","0.000%","829.24537","1684.20","1327.10","2079.8"
