Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4607,839,156,5909,"683.96","0.000%","144.47894","272.45","230.55","1931.0"
Social-Service,4477,78,62,233,"18.52","0.000%","149.73745","108.04","239.67","738.9"
Submission-Service,4460,78,63,203,"14.35","0.000%","149.48886","1122.03","238.69","7685.9"
Assessment-Service,4451,76,61,198,"13.60","0.000%","149.52800","76.50","240.21","523.9"
Users-Service,4428,77,61,168,"13.82","0.000%","149.24166","138.28","238.15","948.8"
Competitive-Service,4411,76,60,232,"13.69","0.000%","149.19669","90.32","239.82","619.9"
TOTAL,26834,208,60,5909,"403.84","0.000%","841.53417","1707.39","1346.78","2077.6"
