Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4859,3698,161,30979,"4192.19","0.741%","130.50251","247.26","206.70","1940.2"
Social-Service,4130,93,61,11700,"283.87","0.000%","118.92421","85.84","190.35","739.1"
Submission-Service,4109,78,63,200,"12.46","0.000%","137.31912","1030.70","219.25","7686.0"
Assessment-Service,4094,74,61,567,"13.01","0.000%","137.64120","70.42","221.11","523.9"
Users-Service,4093,76,62,206,"12.67","0.000%","137.35821","127.32","219.18","949.2"
Competitive-Service,4079,76,61,160,"13.34","0.000%","137.22456","83.11","220.58","620.2"
TOTAL,25364,773,61,30979,"2325.47","0.142%","681.22365","1380.17","1088.60","2074.6"
