Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4354,927,155,5318,"750.66","0.000%","133.37418","251.49","212.83","1930.8"
Social-Service,4185,77,61,230,"18.07","0.000%","140.16813","101.12","224.35","738.8"
Submission-Service,4176,78,61,233,"19.22","0.000%","140.08252","1051.44","223.67","7686.0"
Assessment-Service,4167,75,61,192,"13.34","0.000%","140.13317","71.71","225.12","524.0"
Users-Service,4164,77,62,535,"16.94","0.000%","140.47635","130.17","224.16","948.9"
Competitive-Service,4163,75,61,227,"14.31","0.000%","140.73698","85.21","226.22","620.0"
TOTAL,25209,223,61,5318,"448.34","0.000%","772.21627","1564.86","1235.84","2075.1"
