Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4833,1379,151,7096,"572.26","0.000%","142.03851","286.70","242.61","1931.0"
Social-Service,4581,79,62,282,"19.37","0.000%","143.24145","110.58","245.28","738.9"
Submission-Service,4566,81,64,310,"17.31","0.000%","143.05712","1148.80","244.38","7685.9"
Assessment-Service,4554,78,62,263,"17.16","0.000%","143.06534","78.36","245.89","524.2"
Users-Service,4546,79,62,267,"16.76","0.000%","143.01245","141.83","244.16","949.2"
Competitive-Service,4542,78,62,272,"17.63","0.000%","143.32163","92.82","246.45","619.9"
TOTAL,27622,306,62,7096,"549.23","0.000%","808.94426","1761.21","1390.63","2075.5"
