Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,3425,2773,151,17208,"4070.01","0.117%","135.58737","189.83","160.32","1932.5"
Social-Service,3087,91,61,13214,"425.32","0.000%","138.57562","70.41","156.18","738.9"
Submission-Service,3071,77,61,178,"12.20","0.000%","143.90176","772.35","164.30","7685.8"
Assessment-Service,3060,74,61,635,"15.10","0.000%","143.82258","52.61","165.18","523.9"
Users-Service,3053,75,62,164,"11.72","0.000%","143.77385","95.22","164.00","948.7"
Competitive-Service,3036,75,60,518,"16.02","0.000%","143.37734","61.97","164.56","619.8"
TOTAL,18732,571,60,17208,"2035.61","0.021%",750.13216","1115.21","880.20","2075.8"
