Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,3086,5092,173,20162,"3633.68","0.000%","84.11699","1556.46","132.50","18947.6"
Social-Service,2523,71,62,177,"8.64","0.000%","84.35870","60.88","135.02","739.0"
Submission-Service,2515,71,62,247,"7.83","0.000%","84.32240","632.93","134.64","7686.2"
Assessment-Service,2507,80,63,218,"16.11","0.000%","84.15293","43.06","135.19","524.0"
Users-Service,2501,75,63,181,"10.11","0.000%","84.18891","78.01","134.34","948.9"
Competitive-Service,2494,74,61,182,"9.36","0.000%","84.21692","50.98","135.37","619.8"
TOTAL,15626,1065,61,20162,"2568.72","0.000%","425.92744","2259.94","679.86","5433.3"
