Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4990,3258,154,19193,"2732.53","0.822%","123.78141","234.60","195.90","1940.7"
Social-Service,4322,92,61,6555,"284.23","0.000%","136.79380","98.70","218.95","738.9"
Submission-Service,4313,78,63,272,"11.95","0.000%","144.47943","1084.44","230.69","7685.9"
Assessment-Service,4300,74,62,194,"11.10","0.000%","144.30499","73.82","231.82","523.8"
Users-Service,4296,76,61,253,"13.32","0.000%","144.54913","133.90","230.66","948.6"
Competitive-Service,4293,75,62,426,"14.47","0.000%","144.98480","87.78","233.05","620.0"
TOTAL,26514,677,61,19193,"1721.29","0.155%","657.70347","1332.74","1050.90","2075.0"
