Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4427,881,153,7248,"685.80","0.000%","138.96475","262.05","221.75","1931.0"
Social-Service,4286,79,62,235,"16.74","0.000%","143.29656","103.39","229.36","738.8"
Submission-Service,4280,80,63,236,"16.27","0.000%","143.51340","1077.19","229.14","7686.0"
Assessment-Service,4261,78,60,211,"14.82","0.000%","143.24615","73.29","230.12","523.9"
Users-Service,4250,80,62,242,"18.51","0.000%","143.08801","132.61","228.33","949.0"
Competitive-Service,4240,79,62,209,"16.69","0.000%","143.24808","86.68","230.26","619.6"
TOTAL,25744,217,60,7248,"415.45","0.000%","808.11125","1640.14","1293.29","2078.3"
