Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,3816,346,153,3004,"164.92","0.000%","125.34901","236.36","200.02","1930.9"
Social-Service,3781,75,61,181,"13.45","0.000%","126.67940","91.42","202.76","739.0"
Submission-Service,3763,77,63,237,"16.14","0.000%","126.35997","948.42","201.76","7685.9"
Assessment-Service,3748,74,61,198,"11.62","0.000%","126.17404","64.57","202.69","524.1"
Users-Service,3729,74,62,152,"10.08","0.000%","125.88617","116.66","200.88","949.0"
Competitive-Service,3720,74,62,172,"11.26","0.000%","125.86703","76.23","202.32","620.2"
TOTAL,22557,121,61,3004,"122.83","0.000%","740.95851","1504.29","1185.83","2078.9"
