Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,2855,786,135,8695,"874.87","0.000%","92.79121","1716.97","146.16","18947.7"
Social-Service,2840,71,59,240,"9.38","0.000%","94.94517","68.56","151.97","739.4"
Submission-Service,2834,70,61,164,"6.26","0.000%","95.02096","713.24","151.72","7686.3"
Assessment-Service,2826,73,61,169,"10.46","0.000%","94.96925","48.61","152.56","524.1"
Users-Service,2820,9655,62,40965,"10315.06","0.000%","56.02130","51.92","89.39","949.1"
Competitive-Service,1958,73,60,162,"10.47","0.000%","66.21576","40.13","106.44","620.6"
TOTAL,16133,1873,59,40965,"5624.21","0.000%","318.04203","1604.66","507.73","5166.5"
