Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4886,2415,155,25381,"3356.90","0.020%","136.87808","258.16","218.37","1931.3"
Social-Service,4426,78,61,2866,"44.57","0.000%","147.78457","106.65","236.54","739.0"
Submission-Service,4413,80,62,303,"15.48","0.000%","147.70559","1108.66","235.84","7686.0"
Assessment-Service,4399,77,60,347,"18.72","0.000%","147.59269","75.55","237.10","524.1"
Users-Service,4394,78,61,208,"14.90","0.000%","148.15065","137.35","236.40","949.4"
Competitive-Service,4392,77,60,215,"15.11","0.000%","148.43856","89.89","238.60","620.1"
TOTAL,26910,502,60,25381,"1690.61","0.004%","753.86598","1527.28","1206.39","2074.6"
