Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,5140,4698,153,28390,"3782.97","1.615%","128.08692","243.98","201.09","1950.5"
Social-Service,4217,151,62,13893,"737.33","0.095%","107.39571","77.74","171.73","741.3"
Submission-Service,4186,80,63,3071,"47.87","0.000%","127.52475","957.18","203.62","7685.9"
Assessment-Service,4176,75,62,217,"12.82","0.000%","140.16245","71.71","225.16","523.9"
Users-Service,4165,76,63,306,"14.00","0.000%","140.13189","129.86","223.61","948.9"
Competitive-Service,4155,75,62,229,"12.87","0.000%","140.10183","84.80","225.20","619.8"
TOTAL,26039,1001,62,28390,"2505.32","0.334%","648.88235","1315.10","1034.91","2075.4"
