Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,3711,6511,138,98535,"5655.97","2.344%","33.96859","616.21","52.25","18575.9"
Social-Service,2800,219,60,18913,"1018.75","1.179%","73.82409","55.27","116.77","766.6"
Submission-Service,2770,128,61,23411,"758.38","0.072%","67.95712","509.87","108.43","7683.0"
Assessment-Service,2762,76,60,9314,"183.97","0.072%","92.72813","47.62","148.85","525.9"
Users-Service,2753,506,61,9344,"688.91","0.036%","91.92601","85.27","146.63","949.9"
Competitive-Service,2720,88,61,7405,"269.53","0.515%","91.74931","56.70","146.72","632.8"
TOTAL,17516,1540,60,98535,"3713.26","0.794%","160.33245","877.38","253.84","5603.6"
