Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4232,852,178,4202,"477,56","0,000%","132,21695","249,27","210,98","1930,5"
Social-Service,4094,96,65,545,"25,91","0,000%","137,04224","98,84","219,35","738,5"
Submission-Service,4085,98,65,461,"26,71","0,000%","137,06214","1028,72","218,84","7685,6"
Assessment-Service,4072,97,65,2928,"50,51","0,000%","137,03978","70,06","220,15","523,5"
Users-Service,4055,98,64,295,"24,65","0,000%","136,94698","126,84","218,53","948,4"
Competitive-Service,4048,97,67,381,"26,51","0,000%","137,02525","82,93","220,26","619,7"
TOTAL,24586,227,64,4202,"348,31","0,000%","768,12047","1558,32","1229,29","2077,4"
