Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,5082,3011,155,15982,"2321.74","0.098%","131.42990","247.98","209.52","1932.0"
Social-Service,4485,81,61,10671,"223.98","0.000%","116.51772","84.06","186.50","738.8"
Submission-Service,4482,77,62,176,"9.43","0.000%","151.71107","1138.71","242.23","7685.9"
Assessment-Service,4482,73,61,891,"15.33","0.000%","151.71107","77.62","243.72","523.9"
Users-Service,4482,74,60,171,"10.25","0.000%","151.62895","140.51","241.95","948.9"
Competitive-Service,4482,74,60,228,"10.59","0.000%","151.65460","91.81","243.77","619.9"
TOTAL,27495,618,60,15982,"1517.52","0.018%","711.07146","1438.56","1137.74","2071.6"
