Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,4780,1412,151,6987,"992.90","0.000%","145.09030","273.60","231.52","1931.0"
Social-Service,4526,79,60,394,"30.55","0.000%","151.50805","109.30","242.50","738.7"
Submission-Service,4522,80,63,406,"26.87","0.000%","151.46542","1136.90","241.84","7686.2"
Assessment-Service,4516,75,62,920,"26.14","0.000%","151.98735","77.79","244.16","524.1"
Users-Service,4514,76,62,395,"19.90","0.000%","151.90981","140.76","242.40","948.8"
Competitive-Service,4499,75,62,382,"19.49","0.000%","151.81373","91.89","244.03","619.8"
TOTAL,27357,310,60,6987,"655.48","0.000%","830.38397","1682.76","1328.92","2075.1"
