Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,5284,3839,152,20556,"3175.78","0.776%","141.18150","267.52","223.54","1940.3"
Social-Service,4429,128,61,14963,"432.53","0.000%","129.87889","93.71","207.88","738.9"
Submission-Service,4411,84,64,312,"19.60","0.000%","147.48069","1106.97","235.48","7686.0"
Assessment-Service,4402,83,62,297,"23.13","0.000%","147.83222","75.65","237.48","524.0"
Users-Service,4401,80,62,633,"19.03","0.000%","147.97256","137.14","236.12","949.0"
Competitive-Service,4395,80,62,298,"17.20","0.000%","147.99973","89.58","237.90","619.8"
TOTAL,27322,816,61,20556,"2042.71","0.150%","730.00775","1477.76","1166.46","2072.9"
