Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Challenge-Service,5053,2827,153,14806,"2132.08","0.950%","142.78852","270.82","225.68","1942.2"
Social-Service,4524,101,62,5648,"299.29","0.000%","142.21496","102.64","227.63","739.0"
Submission-Service,4517,78,63,186,"10.09","0.000%","151.30301","1135.64","241.58","7685.9"
Assessment-Service,4501,73,62,191,"9.51","0.000%","151.14678","77.33","242.81","523.9"
Users-Service,4487,75,62,400,"12.21","0.000%","150.94022","139.85","240.86","948.8"
Competitive-Service,4471,75,61,195,"11.61","0.000%","150.71633","91.22","242.26","619.8"
TOTAL,27553,584,61,14806,"1406.39","0.174%","778.59726","1580.15","1243.84","2078.2"
